Player,Nat,Pos,Squad,Age,Wages,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,PrgC,PrgP,Gls,Ast,Fls,Fld,Int,TklW,OG,Recov,GA,Saves,Save%
Kalvin Phillips,ENG,MF,Manchester City,26,"7,800,000",12,2,300,3.3,0,0,1,0,1,18,0,0,10,2,5,4,0,19,0,0,0
Kamaldeen Sulemana,GHA,FW,Southampton,20,"2,080,000",18,10,966,10.7,2,1,1,0,32,36,0.19,0.09,9,12,6,9,0,39,0,0,0
Kaoru Mitoma,JPN,FW,Brighton,25,"520,000",33,24,"2,318",25.8,7,5,0,0,143,90,0.27,0.19,29,27,17,27,0,120,0,0,0
Keane Lewis-Potter,ENG,FW,Brentford,21,"1,820,000",10,3,321,3.6,0,1,0,0,8,6,0,0.28,1,4,0,0,0,20,0,0,0
Kelechi Iheanacho,NGA,FW,Leicester City,25,"4,160,000",28,11,"1,127",12.5,5,5,0,0,33,27,0.4,0.4,18,5,0,2,0,30,0,0,0
Kenny Tete,NED,DF,Fulham,26,"2,600,000",31,29,"2,569",28.5,1,5,8,0,75,103,0.04,0.18,42,54,52,46,0,141,0,0,0
Kepa Arrizabalaga,ESP,GK,Chelsea,27,"7,800,000",29,29,"2,565",28.5,0,0,1,0,0,0,0,0,0,8,1,2,0,42,33,90,73.3
Kevin De Bruyne,BEL,MF,Manchester City,31,"20,800,000",32,28,"2,417",26.9,7,16,1,0,100,246,0.26,0.6,20,29,9,12,0,97,0,0,0
Kevin Mbabu,SUI,DF,Fulham,27,"2,080,000",6,1,144,1.6,0,1,1,0,4,8,0,0.62,4,0,3,2,0,6,0,0,0
Kevin Schade,GER,FW,Brentford,20,"520,000",18,7,732,8.1,0,1,2,0,24,15,0,0.12,13,8,4,8,0,33,0,0,0
Keylor Navas,CRC,GK,Nott'ham Forest,35,"4,680,000",17,17,"1,529",17,0,0,2,0,0,1,0,0,0,0,1,0,0,10,32,51,66.3
Kieffer Moore,WAL,FW,Bournemouth,29,"780,000",27,12,"1,279",14.2,4,0,1,0,10,23,0.28,0,26,30,1,11,0,26,0,0,0
Kieran Tierney,SCO,DF,Arsenal,25,"5,720,000",27,6,795,8.8,0,1,0,0,25,36,0,0.11,5,9,11,11,0,43,0,0,0
Kieran Trippier,ENG,DF,Newcastle Utd,31,"5,200,000",38,38,"3,341",37.1,1,7,5,0,45,260,0.03,0.19,48,29,43,49,1,264,0,0,0
Kiernan Dewsbury-Hall,ENG,MF,Leicester City,23,"1,040,000",31,28,"2,306",25.6,2,2,5,1,68,132,0.08,0.08,37,35,28,29,0,149,0,0,0
Kostas Tsimikas,GRE,DF,Liverpool,26,"2,600,000",20,9,771,8.6,0,4,3,0,23,26,0,0.47,13,9,12,9,0,50,0,0,0
Kristoffer Ajer,NOR,DF,Brentford,24,"1,820,000",9,9,763,8.5,0,0,0,0,10,31,0,0,5,8,7,8,0,36,0,0,0
Kurt Zouma,FRA,DF,West Ham,27,"6,500,000",25,24,"1,989",22.1,2,0,0,0,3,31,0.09,0,14,7,30,4,0,84,0,0,0
Kyle Walker,ENG,DF,Manchester City,32,"8,320,000",27,22,"1,958",21.8,0,0,3,0,50,162,0,0,15,10,18,9,0,124,0,0,0
