Player,Nat,Pos,Squad,Age,Wages,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,PrgC,PrgP,Gls,Ast,Fls,Fld,Int,TklW,OG,Recov,GA,Saves,Save%
Aaron Cresswell,ENG,DF,West Ham,32,"2,600,000",28,24,"2,235",24.8,0,1,3,0,35,145,0,0.04,9,9,27,11,0,120,0,0,0
Aaron Hickey,SCO,DF,Brentford,20,"1,560,000",26,23,"1,916",21.3,0,1,7,0,41,81,0,0.05,20,35,17,26,0,111,0,0,0
Aaron Ramsdale,ENG,GK,Arsenal,24,"3,120,000",38,38,"3,420",38,0,0,1,0,0,8,0,0,0,4,0,1,0,33,43,94,70.6
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,24,"4,680,000",19,16,"1,435",15.9,0,0,2,0,41,55,0,0,11,2,22,25,0,73,0,0,0
Abdoulaye Doucouré,MLI,MF,Everton,29,"6,240,000",25,17,"1,533",17,5,2,6,1,23,38,0.29,0.12,21,4,13,20,0,100,0,0,0
Adam Armstrong,ENG,FW,Southampton,25,"2,860,000",30,14,"1,335",14.8,2,1,2,0,39,16,0.13,0.07,17,9,5,9,0,54,0,0,0
Adam Forshaw,ENG,MF,Leeds United,30,"1,040,000",12,5,479,5.3,0,0,0,0,4,33,0,0,6,5,4,9,0,37,0,0,0
Adam Lallana,ENG,MF,Brighton,34,"4,680,000",16,12,722,8,2,1,0,0,10,33,0.25,0.12,2,7,2,4,0,25,0,0,0
Adam Smith,ENG,DF,Bournemouth,31,"1,820,000",37,34,"2,943",32.7,0,1,11,0,28,83,0,0.03,29,27,25,29,0,128,0,0,0
Adam Webster,ENG,DF,Brighton,27,"2,860,000",27,23,"1,985",22.1,0,0,2,0,19,119,0,0,10,6,19,12,1,143,0,0,0
Adama Traoré,ESP,FW,Wolves,26,"2,860,000",34,12,"1,496",16.6,2,1,2,0,85,36,0.12,0.06,21,34,3,7,0,66,0,0,0
Ainsley Maitland-Niles,ENG,DF,Southampton,24,"1,820,000",22,13,"1,407",15.6,0,0,3,0,15,57,0,0,13,8,22,24,0,90,0,0,0
Albert Sambi Lokonga,BEL,MF,Arsenal,22,"2,600,000",6,2,198,2.2,0,0,0,0,0,12,0,0,1,5,5,1,0,14,0,0,0
Albert Sambi Lokonga,BEL,MF,Arsenal,22,"2,600,000",6,2,198,2.2,0,0,0,0,0,12,0,0,7,12,7,10,0,34,0,0,0
Albert Sambi Lokonga,BEL,MF,Arsenal,22,"2,600,000",9,6,536,6,0,0,2,0,2,20,0,0,1,5,5,1,0,14,0,0,0
Albert Sambi Lokonga,BEL,MF,Arsenal,22,"2,600,000",9,6,536,6,0,0,2,0,2,20,0,0,7,12,7,10,0,34,0,0,0
Alejandro Garnacho,,LW,Manchester Utd,18,"364,000",19,5,569,6.3,3,2,3,0,33,12,0.47,0.32,8,8,5,2,0,28,0,0,0
Aleksandar Mitrovi?,SRB,FW,Fulham,27,"4,160,000",24,23,"2,008",22.3,14,1,7,0,24,44,0.63,0.04,34,40,3,7,0,55,0,0,0
Alex Iwobi,NGA,MF,Everton,26,"6,240,000",38,38,"3,378",37.5,2,7,2,0,90,194,0.05,0.19,19,15,25,37,0,259,0,0,0
Alex McCarthy,ENG,GK,Southampton,32,"2,600,000",6,6,540,6,0,0,0,0,0,0,0,0,0,1,1,0,0,7,17,14,46.7
Alex Mighten,ENG,FW,Nott'ham Forest,20,"180,000",1,0,8,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Álex Moreno,ESP,DF,Aston Villa,29,"1,820,000",19,14,"1,329",14.8,0,3,3,0,65,37,0,0.2,17,11,7,14,0,69,0,0,0
Alex Oxlade-Chamberlain,ENG,FW,Liverpool,28,"6,240,000",9,4,335,3.7,1,0,0,0,11,14,0.27,0,3,4,1,4,0,20,0,0,0
Alexander Isak,SWE,FW,Newcastle Utd,22,"6,240,000",22,17,"1,522",16.9,10,1,3,0,41,48,0.59,0.06,19,15,4,8,0,38,0,0,0
Alexis Mac Allister,ARG,MF,Brighton,23,"2,600,000",35,31,"2,886",32.1,10,2,8,0,69,174,0.31,0.06,35,57,22,39,1,213,0,0,0
Alisson,BRA,GK,Liverpool,29,"7,800,000",37,37,"3,330",37,0,1,1,0,0,3,0,0.03,1,5,0,0,0,71,43,105,72.1
Allan Saint-Maximin,FRA,FW,Newcastle Utd,25,"3,640,000",25,12,"1,120",12.4,1,5,1,0,93,69,0.08,0.4,6,16,5,3,0,69,0,0,0
Alphonse Areola,FRA,GK,West Ham,29,"6,240,000",5,2,309,3.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,9,68.8
Amadou Onana,BEL,MF,Everton,20,"5,200,000",33,29,"2,488",27.6,1,2,9,0,27,79,0.04,0.07,44,49,37,43,0,150,0,0,0
André Ayew,GHA,FW,Nott'ham Forest,32,"2,340,000",13,1,316,3.5,0,0,1,0,3,11,0,0,3,8,0,3,0,9,0,0,0
Andreas Pereira,BRA,MF,Fulham,26,"2,600,000",33,33,"2,692",29.9,4,6,8,0,53,121,0.13,0.2,41,31,6,9,0,117,0,0,0
Andrew Robertson,SCO,DF,Liverpool,28,"5,200,000",34,29,"2,583",28.7,0,8,3,0,80,166,0,0.28,22,10,18,21,0,174,0,0,0
Angelo Ogbonna,ITA,DF,West Ham,34,"3,640,000",16,13,"1,237",13.7,0,0,0,0,0,11,0,0,2,4,17,4,0,61,0,0,0
Anthony Elanga,SWE,FW,Manchester Utd,20,"260,000",16,5,426,4.7,0,1,0,0,12,8,0,0.21,3,7,2,0,0,17,0,0,0
Anthony Gordon,ENG,FW,Newcastle Utd,21,"3,120,000",16,4,487,5.4,1,0,1,0,20,15,0.18,0,7,8,2,12,0,25,0,0,0
Anthony Gordon,ENG,FW,Newcastle Utd,21,"3,120,000",16,4,487,5.4,1,0,1,0,20,15,0.18,0,20,15,4,22,0,56,0,0,0
Anthony Gordon,ENG,FW,Newcastle Utd,21,"3,120,000",16,12,"1,095",12.2,3,0,6,0,28,19,0.25,0,7,8,2,12,0,25,0,0,0
Anthony Gordon,ENG,FW,Newcastle Utd,21,"3,120,000",16,12,"1,095",12.2,3,0,6,0,28,19,0.25,0,20,15,4,22,0,56,0,0,0
Anthony Martial,FRA,FW,Manchester Utd,26,"13,000,000",21,11,978,10.9,6,2,0,0,18,35,0.55,0.18,8,14,1,3,0,20,0,0,0
Antoine Semenyo,GHA,FW,Bournemouth,22,"1,040,000",11,2,258,2.9,1,0,0,0,5,5,0.35,0,6,5,2,0,0,13,0,0,0
Antonee Robinson,USA,DF,Fulham,24,"1,300,000",35,35,"3,088",34.3,0,1,8,0,112,129,0,0.03,33,23,53,38,0,235,0,0,0
Antony,BRA,FW,Manchester Utd,22,"10,400,000",25,23,"1,802",20,4,2,5,0,95,74,0.2,0.1,15,25,11,9,0,99,0,0,0
Armando Broja,ALB,FW,Chelsea,20,"2,080,000",12,2,294,3.3,1,0,0,0,8,4,0.31,0,2,6,1,1,0,15,0,0,0
Armel Bella Kotchap,GER,DF,Southampton,20,"780,000",24,24,"1,879",20.9,0,2,4,0,9,39,0,0.1,9,33,44,17,0,145,0,0,0
Arnaut Danjuma,NED,FW,Tottenham,25,"2,340,000",9,1,169,1.9,1,0,0,0,5,2,0.53,0,0,1,0,0,0,1,0,0,0
Ashley Young,ENG,DF,Aston Villa,37,"2,600,000",29,23,"2,036",22.6,1,0,7,0,29,107,0.04,0,24,28,21,27,0,131,0,0,0
Asmir Begovi?,BIH,GK,Everton,35,"2,340,000",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100
Aymeric Laporte,ESP,DF,Manchester City,28,"6,240,000",12,11,993,11,0,0,0,0,30,85,0,0,5,7,3,8,0,55,0,0,0
Ayoze Pérez,ESP,MF,Leicester City,29,"2,340,000",8,3,382,4.2,0,1,0,0,17,20,0,0.24,7,12,2,8,0,35,0,0,0
Ben Chilwell,ENG,DF,Chelsea,25,"9,880,000",23,15,"1,408",15.6,2,2,3,0,43,41,0.13,0.13,13,23,18,17,0,68,0,0,0
Ben Davies,WAL,DF,Tottenham,29,"4,160,000",31,26,"2,288",25.4,2,2,4,0,39,107,0.08,0.08,30,17,18,11,0,84,0,0,0
Ben Godfrey,ENG,DF,Everton,24,"3,900,000",13,10,802,8.9,0,1,2,0,9,19,0,0.11,10,5,8,11,0,35,0,0,0
Ben Johnson,ENG,DF,West Ham,22,"1,040,000",17,9,866,9.6,0,0,0,0,15,37,0,0,3,5,9,14,0,67,0,0,0
Ben Mee,ENG,DF,Brentford,32,"2,860,000",37,37,"3,269",36.3,3,1,2,0,8,84,0.08,0.03,14,15,48,24,0,199,0,0,0
Ben Pearson,ENG,MF,Bournemouth,27,"416,000",7,3,286,3.2,0,0,1,0,2,5,0,0,9,2,2,3,0,19,0,0,0
Ben White,ENG,DF,Arsenal,24,"6,240,000",38,36,"3,055",33.9,2,5,5,0,64,249,0.06,0.15,28,30,22,31,0,155,0,0,0
Benoît Badiashile,FRA,DF,Chelsea,21,"4,680,000",11,10,905,10.1,1,0,2,0,11,56,0.1,0,9,6,16,8,0,76,0,0,0
Bernardo Silva,POR,MF,Manchester City,27,"7,800,000",34,24,"2,205",24.5,4,5,5,0,90,130,0.16,0.2,31,15,16,23,0,122,0,0,0
Bernd Leno,GER,GK,Fulham,30,"4,680,000",36,36,"3,240",36,0,0,3,0,0,0,0,0,1,3,0,0,0,50,51,142,77.1
Bertrand Traoré,BFA,FW,Aston Villa,26,"4,050,000",8,1,233,2.6,2,0,1,0,9,9,0.77,0,2,8,2,1,0,8,0,0,0
Billy Gilmour,SCO,MF,Brighton,21,"1,040,000",14,7,507,5.6,0,1,1,0,5,35,0,0.18,8,3,6,2,0,35,0,0,0
Bobby Reid,JAM,FW,Fulham,29,"1,820,000",36,29,"2,475",27.5,4,1,8,0,46,63,0.15,0.04,34,22,20,24,0,135,0,0,0
